original_index,duplicate_index,similarity,scenario_A,scenario_B
367,368,0.98841363,"Given A 'ContentItem' has been created and is marked as not requiring approval When The 'ContentItem' is scheduled for publication to LinkedIn, and the system processes the scheduled publication Then A 'PublishJob' should be enqueued, a background worker should process the job by calling the LinkedIn API, the 'PublishJob.publishedAt' timestamp should be recorded, and the 'ContentItem' status should be updated to 'published'","Given A 'ContentItem' has been created, marked as requiring approval, and has been successfully approved by an authorized user When The approved 'ContentItem' is scheduled for publication to LinkedIn, and the system processes the scheduled publication Then A 'PublishJob' should be enqueued, a background worker should process the job by calling the LinkedIn API, the 'PublishJob.publishedAt' timestamp should be recorded, and the 'ContentItem' status should be updated to 'published'"
706,708,0.9808047,Given A user's current scope has storage usage below 80% of its quota. When The global chrome quota meter is displayed. Then The quota meter is color-coded green.,Given A user's current scope has storage usage above 95% of its quota. When The global chrome quota meter is displayed. Then The quota meter is color-coded red.
706,707,0.98076737,Given A user's current scope has storage usage below 80% of its quota. When The global chrome quota meter is displayed. Then The quota meter is color-coded green.,Given A user's current scope has storage usage between 80% and 95% of its quota. When The global chrome quota meter is displayed. Then The quota meter is color-coded yellow.
847,848,0.97847235,"Given An authenticated user wants to subscribe to a plan and their billing account has an existing Stripe customer ID When They make a POST request to '/api/billing/create-checkout-session' with plan details (planId, interval, seats) Then A new Stripe Checkout session is created using the existing customer ID, 'mode' is 'subscription', 'payment_method_types' is 'card', 'line_items' reflect the plan details, success and cancel URLs are set, metadata includes teamId, userId, and planId, and the API responds with the Stripe checkout session URL.","Given An authenticated user wants to subscribe to a plan and their billing account does not have an existing Stripe customer ID When They make a POST request to '/api/billing/create-checkout-session' with plan details (planId, interval, seats) Then A new Stripe customer is created using the user's email, a new Stripe Checkout session is created using the newly generated customer ID, 'mode' is 'subscription', 'payment_method_types' is 'card', 'line_items' reflect the plan details, success and cancel URLs are set, metadata includes teamId, userId, and planId, and the API responds with the Stripe checkout session URL."
822,840,0.9597914,Given A user completes a new subscription via Stripe Checkout When The 'checkout.session.completed' webhook is processed Then A new subscription is successfully created and reflected in the database,Given A user successfully completes a new subscription via Stripe Checkout When The 'checkout.session.completed' webhook is processed Then 'BillingAccount' and 'Subscription' entries are created in the database
709,710,0.9576505,Given A user has permission to upgrade storage. When The quota meter is displayed. Then An 'Upgrade' CTA button is visible.,Given A user does not have permission to upgrade storage directly. When The quota meter is displayed. Then A 'Request more storage' CTA button is visible.
174,175,0.9469837,"Given a publish job is in 'QUEUED' status When a worker successfully processes the publish job Then the publish job's 'status' should be updated to 'PUBLISHED', 'publishedAt' should be set, and a 'JobAttempt' record should be created with no 'errorText'","Given a publish job is in 'QUEUED' status When a worker attempts to process the publish job but encounters an error Then the publish job's 'status' should be updated to 'FAILED', 'lastError' should be populated, and a 'JobAttempt' record should be created with the 'errorText'"
824,825,0.9452272,"Given A user downgrades their subscription with a scheduled effective date When The downgrade request is processed Then The subscription change is scheduled, and the database reflects the future change","Given A user downgrades their subscription with an immediate effective date When The downgrade request is processed Then The subscription changes immediately, and the database reflects the current change"
846,859,0.94502985,"Given A user's payment fails When The payment failure is detected Then The subscription status is set to 'past_due', and notifications are triggered","Given A user's subscription payment fails When The system detects the payment failure Then The subscription status is set to 'past_due', the user is notified, and the admin is notified"
100,997,0.9429319,Given An admin wants to monitor AI credit usage. When They view the usage tracking dashboards. Then The dashboards display AI credit consumption per user and per team.,Given a user or admin wants to monitor AI usage When they access the usage tracking dashboard Then they should see detailed AI credit usage per user and per team.
694,695,0.9412436,"Given A user or team has a subscription that is downgraded, decreasing their 'storageQuotaBytes' below their current 'storageUsedBytes', and overage billing is not allowed. A grace period is in effect. When A Stripe webhook notifies the system of the subscription change, and the grace period expires. Then Admins are notified, and new uploads for that user/team are disabled until usage is resolved.","Given A user or team has a subscription that is downgraded, decreasing their 'storageQuotaBytes' below their current 'storageUsedBytes', and overage billing is allowed. When A Stripe webhook notifies the system of the subscription change. Then Admins are notified, and the system automatically charges for the overage based on policy."
501,502,0.9399568,"Given An incoming request contains a valid ""Stripe-Signature"" header. When The system attempts to validate the ""Stripe-Signature"" header. Then The signature is successfully validated and the request is processed.","Given An incoming request contains an invalid ""Stripe-Signature"" header. When The system attempts to validate the ""Stripe-Signature"" header. Then The signature validation fails and the request is rejected."
262,263,0.9386163,"Given A user record exists with associated team memberships, seats, and workspace access entries. When The user record is deleted. Then All related 'team_members', 'seats', and 'user_workspaces' records for that user are automatically deleted due to cascading delete constraints.","Given A team record exists with associated team members, seats, and workspaces. When The team record is deleted. Then All related 'team_members', 'seats', and 'workspaces' records for that team are automatically deleted due to cascading delete constraints. (This also implicitly deletes associated 'user_workspaces' records for deleted workspaces)."
699,701,0.93765485,"Given A user initiates an image upload within a workspace. When The system attempts to reserve storage for the image. Then An 'uploading' image record is created, and the workspace's 'storageUsedBytes' counter is incremented.","Given A user initiates an image upload, and neither a workspace nor a team has a specific storage quota. When The system attempts to reserve storage for the image. Then An 'uploading' image record is created, and the user's 'storageUsedBytes' counter is incremented."
